title,link,authors
CoSMis: A Hybrid Human-LLM COVID Related Scientific Misinformation Dataset and LLM pipelines for Detecting Scientific Misinformation in the Wild,https://openreview.net/forum?id=ZMewgcXcj1,"Y Cao, A Nair, NJ Soofi, E Eyimife… - AAAI 2025 Workshop …, 2025 - openreview.net"
The scientific evidence indicator for popular science news,https://arxiv.org/abs/2201.03363,"AS Løvlie, A Waagstein, P Hyldgård - arXiv preprint arXiv:2201.03363, 2022 - arxiv.org"
[PDF][PDF] Coding science news (intrinsic and extrinsic features),https://core.ac.uk/download/pdf/290488542.pdf,"MÁ Quintanilla, CG Figuerola, TR Groves - 2014 - core.ac.uk"
Msvec: A multidomain testing dataset for scientific claim verification,https://dl.acm.org/doi/abs/10.1145/3565287.3617630,"M Evans, D Soós, E Landers, J Wu - Proceedings of the Twenty-fourth …, 2023 - dl.acm.org"
Science news in Turkey: Data mining techniques for science culture mapping,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315163284-9/science-news-turkey-ahmet-s%C3%BCerdem,"A Süerdem - The Cultural Authority of Science, 2018 - taylorfrancis.com"
Creating critical consumers of health and science news: teaching science to the non-scientist using newsworthy topics in the life sciences,https://journals.asm.org/doi/abs/10.1128/jmbe.v17i1.1023,"RW Coderre, KA Uekermann, Y Choi… - … of Microbiology & …, 2016 - journals.asm.org"
[PDF][PDF] Desing and construction of microcontroller finger-base attendance system,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-185-2023-148-162-1.pdf,"DC Agumba, M Eze, II Eneh… - … Scientific News, 2023 - worldscientificnews.com"
On representation learning for scientific news articles using heterogeneous knowledge graphs,https://dl.acm.org/doi/abs/10.1145/3442442.3451362,"A Romanou, P Smeros, K Aberer - Companion Proceedings of the Web …, 2021 - dl.acm.org"
Gleake: Global and local embedding automatic keyphrase extraction,https://arxiv.org/abs/2005.09740,"JR Asl, JM Banda - arXiv preprint arXiv:2005.09740, 2020 - arxiv.org"
"[PDF][PDF] Internet of things applications, challenges and related future technologies",https://www.researchgate.net/profile/Elmustafa-Sayed-Ali-Ahmed/publication/313651150_Internet_of_Things_Applications_Challenges_and_Related_Future_Technologies/links/58a6e9b64585150402f27785/Internet-of-Things-Applications-Challenges-and-Related-Future-Technologies.pdf,"KAM Zeinab, SAA Elmustafa - World Scientific News, 2017 - researchgate.net"
